event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE44608,"15 December 2023",2023,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Palestine)",,3,"Civilians (Israel)","Settlers (Israel)",7,37,"Civilian targeting",275,"Middle East",Palestine,"West Bank","Ramallah and Al Bireh",,Burqah,31.8968,35.2543,2,"Quds News Network",National,"On 15 December 2023, an unidentified Palestinian group threw a pipe bomb at an Israeli settler vehicle near Burqah (Ramallah and Al Bireh, West Bank). There were no casualties.",0,,1704757991
ISR38555,"14 December 2023",2023,1,"Political violence",Battles,"Armed clash",Hezbollah,,3,"Military Forces of Israel (2022-)",,1,13,,376,"Middle East",Israel,HaZafon,Zefat,"Eastern Upper Galilee",Margaliyyot,33.2147,35.5449,2,"Globes; Haaretz; Times of Israel; Ynet",National,"On 14 December 2023, Hezbollah forces fired several rockets from Lebanon toward Margaliyyot (Zefat, HaZafon) and surrounding towns. No interceptions or direct hits to populated areas were reported, as the rockets fell in open areas near Margaliyyot. Israeli military forces struck the source of the fire in response to the rockets.",0,,1704757982
ISR38556,"14 December 2023",2023,1,"Political violence",Battles,"Armed clash",Hezbollah,,3,"Military Forces of Israel (2022-)",,1,13,,376,"Middle East",Israel,HaZafon,Akko,Elon,Shomera,33.0827,35.2838,2,"Globes; Haaretz; Ma'ariv; News 0404",National,"On 14 December 2023, Israeli military forces struck Hezbollah targets in Lebanon following launches from Lebanon toward the upper Galilee, including at least one rocket toward the area of Shomera (Akko, HaZafon). The rockets fired by Hezbollah from Lebanon likely landed in open areas near Shomera.",0,,1704757982
ISR38557,"14 December 2023",2023,1,"Political violence",Battles,"Armed clash",Hezbollah,,3,"Military Forces of Israel (2022-)",,1,13,,376,"Middle East",Israel,HaZafon,Zefat,"Eastern Upper Galilee",Yiftah,33.1288,35.5523,2,"News 0404; Times of Israel; Ynet",National,"On 14 December 2023, Hezbollah forces fired several rockets from Lebanon toward Yiftah (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets fell in open areas near Yiftah. Israeli military forces struck the source of the fire in response to the rockets.",0,,1704757982
PSE43182,"14 December 2023",2023,1,"Political violence",Battles,"Armed clash","Al Aqsa Martyrs Brigade",,3,"Military Forces of Israel (2022-)","Settlers (Israel)",8,38,,275,"Middle East",Palestine,"West Bank",Qalqilya,,Qalqilyah,32.1897,34.9706,2,"Long War Journal",International,"On 14 December 2023, Katibat Qalqilya - Quick Response militants opened fire at Israeli military positions and a settlement outpost in the Qalqilyah area (Qalqilya, West Bank). There were no casualties.",0,,1704757985
PSE43218,"14 December 2023",2023,1,"Political violence",Battles,"Armed clash","Al Aqsa Martyrs Brigade",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"West Bank",Nablus,,"Har Gerizim",32.1994,35.2728,1,"Long War Journal",International,"On 14 December 2023, Al Aqsa Martyrs Brigade militants opened fire at Israeli forces positioned in Har Gerizim (Nablus, West Bank). There were no casualties.",0,,1704757985
PSE43378,"14 December 2023",2023,1,"Strategic developments","Strategic developments",Arrests,"Military Forces of Israel (2022-)",,8,"Hamas Movement",,3,38,,275,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Beit Lahiya",31.5541,34.5016,1,"Israeli Defense Forces; Twitter","Other-New media","On 14 December 2023, 70 Hamas militants, who had been located inside Kamal Odwan Hospital in Beit Lahiya (North Gaza, Gaza Strip), surrendered themselves to the IDF.",0,,1704757985
PSE43415,"14 December 2023",2023,1,"Strategic developments","Strategic developments","Looting/property destruction","Military Forces of Israel (2022-)",,8,"Civilians (Palestine)","Muslim Group (Palestine)",7,78,,275,"Middle East",Palestine,"Gaza Strip","North Gaza",,Jabalya,31.5272,34.4835,1,"Palestine News and Information Agency",National,"Property destruction: On 14 December 2023, Israeli military forces razed a Muslim Palestinian cemetery of Al Falouja in Jabalya (North Gaza, Gaza Strip).",0,,1704757986
PSE43425,"14 December 2023",2023,1,"Political violence","Violence against civilians",Attack,"Military Forces of Israel (2022-)",,8,"Civilians (Palestine)","Refugees/IDPs (Palestine)",7,78,"Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Mukhayyam Jabalya",31.536,34.4907,1,"Palestine News and Information Agency",National,"On 14 December 2023, Israeli military forces shot and killed members of 2 Palestinian families who were hiding inside a UNRWA school in Mukhayyam Jabalya refugee camp (North Gaza, Gaza Strip), leaving an unspecified number of fatalities, including women and children. Fatalities coded as 10.",10,,1704757986
PSE43445,"14 December 2023",2023,1,"Political violence","Violence against civilians",Attack,"Military Forces of Israel (2022-)",,8,"Civilians (Palestine)",,7,78,"Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Beit Lahiya",31.5541,34.5016,1,"Palestine News and Information Agency",National,"On 14 December 2023, Israeli military forces shot and killed an unspecified number of Palestinians who were inside their houses on the outskirts of Kamal Odwan Hospital in Beit Lahiya (North Gaza, Gaza Strip). Fatalities coded as 10.",10,,1704757986
PSE43544,"14 December 2023",2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Gaza - Sheikh Radwan",31.5349,34.4667,1,"Liveuamap; Ma'an News Agency; Newpress; Palestine Information Center; Quds News Network; Twitter","Local partner-New media","On 14 December 2023, Hamas militants targeted 4 Israeli tanks and 4 troop carriers with al-Yasin anti-armour shells in Gaza - Sheikh Radwan (Gaza City, Gaza Strip). Also, Hamas engaged in heavy clashes with Israeli troops while PIJ sniped a soldier and clashed with other troops. IDF confirmed that an officer and 7 soldiers were wounded in Gaza Strip. Fatalities unknown.",0,,1704757986
PSE43545,"14 December 2023",2023,1,"Political violence",Battles,"Armed clash","Hamas Movement","PIJ: Palestinian Islamic Jihad",3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Gaza - Shujaiyya",31.4988,34.4699,1,"Israeli Defense Forces; Newpress; Palestine Information Center; Quds News Network; Twitter","Other-New media","On 14 December 2023, Hamas militants clashed with Israeli forces and targeted Israeli 3 tanks with al-Yasin anti-armour shells in Gaza - Shujaiyya (Gaza City, Gaza Strip). Also PIJ and Hamas claimed that they killed and injured 6 soldiers in a joint operation with Hamas. Claimed fatalities coded 0.",0,,1704757986
PSE43547,"14 December 2023",2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"Gaza Strip","Khan Yunis",,"Khan Yunis",31.3502,34.3081,1,"Liveuamap; Newpress; Palestine Information Center; Quds News Network; Twitter","Local partner-New media","On 14 December 2023, Palestinian militants (coded as Hamas) clashed with Israeli military forces and destroyed a tank with al-Yasin shells in Khan Yunis city (Khan Yunis, Gaza Strip). IDF confirmed that 36 soldiers were injured in clashes with militants in Gaza Strip, coded to Khan Yunis. Fatalities unknown.",0,,1704757986
PSE43548,"14 December 2023",2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"Gaza Strip","North Gaza",,Jabalya,31.5272,34.4835,1,"Israeli Defense Forces; Twitter","Other-New media","On 14 December 2023, Israeli warplanes struck and killed a Palestinian sniper (coded as Hamas) who was shooting at Israeli troops in Jabalya (North Gaza, Gaza Strip).",1,,1704757986
PSE43551,"14 December 2023",2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Gaza - Mukhayyam ash Shati",31.5349,34.4466,2,"Liveuamap; Palestine Information Center","Local partner-New media","On 14 December 2023, Hamas militants sniped 4 Israeli soldiers northwest of Gaza City, Gaza - Mukhayyam ash Shati (Gaza City, Gaza Strip). Fatalities unknown.",0,,1704757986
PSE43585,"14 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Palestine)",,5,"Military Forces of Israel (2022-)",,8,58,,275,"Middle East",Palestine,"West Bank","Ramallah and Al Bireh",,"Al Midyah",31.9359,35.005,1,"Palestine News and Information Agency",National,"On 14 December 2023, Palestinian rioters clashed with Israeli forces that raided Al Midyah (Ramallah and Al Bireh, West Bank). Israeli forces opened fire at Israeli rioters, injuring a rioter in the foot.",0,"crowd size=no report",1704757986
